OBJECTID *,IN_FID,NEAR_FID,NEAR_DIST,name_chk,dir_chk,Sensor_ID,MHN_ID
1,1,349,11.088661,100,pass,IL-TESTTSC-STEVENSON-N-6027,11714-11843-1
2,2,676,17.394368,100,pass,IL-TESTTSC-EDENS-N-1104,13702-20684-1
3,3,660,0.283513,100,pass,IL-TESTTSC-EDENS-N-1126,13316-13201-1
4,4,1104,3.475892,100,pass,IL-TESTTSC-DAN_RYAN_EXPRESS-N-5021,21088-15295-1
5,5,43,5.793484,100,pass,IL-TESTTSC-DAN_RYAN_EXPRESS-S-5102,21047-15275-1
6,6,412,12.753519,100,pass,IL-TESTTSC-KINGERY-W-8002,16715-16493-1
7,7,680,6.269223,100,pass,IL-TESTTSC-EDENS-S-1028,20661-20662-1
8,8,863,49.721581,52,fail,IL-TESTTSC-DAN_RYAN_EXPRESS-S-5156,15893-20828-1
9,9,880,0.645907,100,pass,IL-TESTTSC-BISHOP_FORD-S-7111,16211-20866-1
10,10,1650,20.821762,100,pass,IL-TESTTSC-ROUTE_53_I_355_CONNECTOR-N-24101,21671-21669-1
11,11,572,21.591616,100,pass,IL-TESTTSC-I_80-E-35042,20488-12288-1
12,12,40,4.790155,100,pass,IL-TESTTSC-KENNEDY-E-2043,15260-21047-1
13,13,1143,18.515603,100,pass,IL-TESTTSC-I_55-N-6011,21157-21156-1
14,14,493,4.806018,100,pass,IL-TESTTSC-I_290-W-4119,20156-10184-1
15,15,868,11.835941,100,pass,IL-TESTTSC-DAN_RYAN_EXPRESS-N-5083,15930-20829-1
16,16,1731,13.496984,100,pass,IL-TESTTSC-I_80-W-35101,14643-14440-1
17,17,673,3.68069,100,pass,IL-TESTTSC-EDENS-N-1110,13646-13462-1
18,18,556,21.608645,100,pass,IL-TESTTSC-I_80-W-35135,20490-10521-1
19,19,41,2.376417,100,pass,IL-TESTTSC-KENNEDY-W-2101,15295-20991-1
20,20,1745,7.33271,100,pass,IL-TESTTSC-DAN_RYAN-S-5302,15639-15638-1
21,21,820,15.979505,100,pass,IL-TESTTSC-I_57-N-9029,15026-20839-1
22,22,2163,24.3541,100,pass,IL-TESTTSC-I_55-S-6152,21174-9459-1
23,23,925,23.658192,100,pass,IL-TESTTSC-BISHOP_FORD-N-7023,20852-16238-1
24,24,2164,19.278056,100,pass,IL-TESTTSC-I_55-S-6155,9459-8843-1
25,25,208,25.715694,22,pass,IL-TESTTSC-LAKE_SHORE_DRIVE_SOUTH-N-10001,16377-21322-1
26,26,819,15.666811,100,pass,IL-TESTTSC-I_57-N-9024,14985-14986-1
27,27,183,5.050858,100,pass,IL-TESTTSC-KENNEDY-W-2105,20986-15286-1
28,28,853,29.324635,28,fail,IL-TESTTSC-DAN_RYAN-N-5055,15783-15686-1
29,29,263,18.07964,100,fail,IL-TESTTSC-ROUTE_53-N-11104,9952-9953-1
30,30,170,8.584743,100,pass,IL-TESTTSC-KENNEDY-E-2022,21367-21378-1
31,31,680,3.194656,100,pass,IL-TESTTSC-EDENS-S-1029,20661-20662-1
32,32,1615,17.943072,100,pass,IL-TESTTSC-KENNEDY-E-2012,21641-13003-1
33,33,1720,18.729912,100,pass,IL-TESTTSC-EISENHOWER-E-3007,12343-12521-1
34,35,2136,16.958658,100,pass,IL-TESTTSC-STEVENSON-N-6050,21109-14768-1
35,36,690,17.877787,100,pass,IL-TESTTSC-EDENS-N-1105,20684-20681-1
36,37,275,0.245913,100,pass,IL-TESTTSC-I_290-E-4019,10165-10723-1
37,38,261,21.149211,100,pass,IL-TESTTSC-I_290-E-4003,9931-20137-1
38,39,905,3.04448,100,pass,IL-TESTTSC-DAN_RYAN_EXPRESS-S-5106,20786-15283-1
39,40,61,13.698048,22,pass,IL-TESTTSC-LAKE_SHORE_DRIVE_NORTH-S-10214,21267-21271-1
40,41,577,10.642282,100,fail,IL-TESTTSC-BISHOP_FORD-N-7003,20410-20400-1
41,42,178,12.056533,100,pass,IL-TESTTSC-EDENS-N-1102,13710-20685-1
42,43,1205,16.128904,100,pass,IL-TESTTSC-EISENHOWER-E-3024,14458-14512-1
43,44,494,3.769496,100,pass,IL-TESTTSC-I_290-E-4028,20165-11144-1
44,45,432,21.674707,100,fail,IL-TESTTSC-ROUTE_53-N-11107,20092-20090-1
45,46,420,20.843461,100,pass,IL-TESTTSC-STEVENSON-S-6136,20317-11468-1
46,47,473,1.570993,100,pass,IL-TESTTSC-I_80-E-35038,10529-20491-1
47,48,520,11.867807,100,pass,IL-TESTTSC-I_80-W-35122,20467-20487-1
48,49,619,18.54619,100,pass,IL-TESTTSC-STEVENSON-S-6140,20337-11097-1
49,51,503,3.616779,100,pass,IL-TESTTSC-I_290-E-4025,20162-20165-1
50,52,1665,9.906386,100,pass,IL-TESTTSC-KENNEDY-E-2018,13416-21342-1
51,53,210,10.125626,22,pass,IL-TESTTSC-LAKE_SHORE_DRIVE_SOUTH-N-10003,21322-21968-1
52,55,907,8.261543,100,pass,IL-TESTTSC-DAN_RYAN_EXPRESS-S-5108,20805-15382-1
53,56,579,14.536768,100,fail,IL-TESTTSC-BISHOP_FORD-N-7002,20447-20410-1
54,57,909,8.377647,100,pass,IL-TESTTSC-STEVENSON-S-6103,20799-15712-1
55,58,1037,6.770462,100,pass,IL-TESTTSC-STEVENSON-S-6116,13801-21118-1
